"Aethelgard is characterized by spires, a vertical city, and a constant shimmering hum of mana.","The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Aethelgard pierced the violet clouds.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Aethelgard defies the laws of gravity.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Aethelgard is a floating magical academy.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Aethelgard is located above Sundered Earth.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",1
Aethelgard is constructed of white marble.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara is a low-ranking student.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara is located in the lower maintenance sector.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara is characterized by calloused hands.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara reveals nullification magic during combat exam.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",5
Elara watches the mana-suppression field.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",4
Elara utilizes sheer willpower.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",4
Elara sees faint violet glows and currents of magic.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",4
Elara says that she fixed a leak she was previously aware of.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",4
Elara possesses a forbidden ability.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",3
Elara nullifies magic.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",3
Elara intervenes using power.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",3
Elara suppresses Kaelen's curse.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",5
Elara saves Kaelen's life.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",1
"Elara and Kaelen form an alliance, trace the rift's origin to the headmaster's office, discover the headmaster orchestrated the attack, harvest the forbidden energy, defeat the headmaster, and seal the rift permanently.","The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara scrubs the algae and mossy stones.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",5
Elara keeps dormant poison in check.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",3
Elara adjusts the goggles.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",0
Elara possesses power.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara knows how to sever currents of magic.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",4
Elara carries the burden of dormant poison.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara looks up at the silver-haired figure.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara reaches out her hand.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara presses her hand against Kaelen's shoulder.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",4
"Elara's hands are stained with grease, the residue of mana-conducting alloys.","The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Elara's hand is characterized by a pale ethereal light.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",3
Elara's touch acts as a vacuum.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",4
Kaelen is the academy's arrogant top prodigy.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",3
"Kaelen is characterized by silver hair, academy's golden child, top prodigy, face twisted in grimace, and wide eyes.","The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",3
Kaelen looks at Elara.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Kaelen attempts to defend the students.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",3
Kaelen loses control of his cursed bloodline.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",5
Kaelen stumbles while his face is twisted in a grimace.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
Kaelen clamps his hands over his chest.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",3
"Kaelen rasps ""Ho"".","The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",1
Kaelen's presence is characterized by being a beacon of power.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",1
Kaelen's voice is characterized by being hoarse.,"The story opens with a detailed introduction to Aethelgard, the floating magical academy, and its strict hierarchy based on mana capacity. We meet Elara, a low-ranking student who secretly possesses the forbidden ability to nullify magic. Her life is mundane and filled with the daily grind of classes and chores. Meanwhile, Kaelen, the academyˇŻs top prodigy, is introduced as a confident and arrogant student, admired by many but isolated due to his exceptional abilities. However, beneath his facade, Kaelen struggles with the burden of a dark, cursed bloodline.",2
